,instances,budget,deadline,sched_start_time,submit_time,exec_start_time,finish_time,complete,cost
lamf-test-64282f81-8a38-42e2-8686-39f8e7fadae5,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(5, 19386.432, None)]}",308.1387838586121,141667.62068173915,19386.432,13844.989143116503,19386.432,23866.413,True,9.085401467999999
lamf-test-6ca33400-5b63-4867-9fb5-39d7d8646a8a,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(6, 19476.432, 19986.432), (2, 19986.432, None), (2, 24286.968, None), (1, 25096.968, None)]}",105.93846150050236,45106.439253802426,19476.432,13845.989143116503,19476.432,26057.829999999998,True,7.992502939199994
lamf-test-e1a8ae4a-b274-4245-9dc7-b8b20b25f60b,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(4, 19566.432, 22056.432), (2, 22056.432, None), (0, 33978.576, None), (1, 43899.648, None), (1, 46899.648, None)]}",307.3714712616934,141722.04645399516,19566.432,13846.989143116503,19566.432,57821.42499999999,True,43.12888382399998
lamf-test-5f552717-b86e-4e0e-9794-6b12cd0fea27,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(2, 19596.432, None), (0, 20856.432, None), (3, 21576.432, None), (-1, 23536.968, None)]}",43.981392744961866,28084.970959569982,19596.432,13847.989143116503,19596.432,24692.645370162387,True,7.457113973351455
lamf-test-0ee69e3c-f7ac-4d00-b4dc-243374763ca6,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(2, 19806.432, None)]}",95.71047451977611,45080.75958934812,19806.432,13851.677089220004,19806.432,22032.824000000004,True,1.8060491904000027
lamf-test-60d40a4b-09c7-4a73-b379-b1d85406ff0e,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(4, 19836.432, None), (0, 20556.432, None), (0, 22416.432, None), (-1, 24046.968, None), (0, 24526.968, None)]}",57.165191884420324,28153.116912682002,19836.432,13854.932289725504,19836.432,27624.103000000003,True,11.183831474400003
lamf-test-87976d93-8677-4270-9b15-bf91d2c51eaa,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(3, 19926.432, 22416.432), (1, 22416.432, None), (1, 25426.968, None), (2, 32868.576, None)]}",311.39111778496914,141614.953175947,19926.432,13861.547596163504,19926.432,36847.038,True,16.742194559999998
lamf-test-68fc4f1f-0368-4356-8862-a5c873470b2b,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(4, 19956.432, 23926.968), (2, 23926.968, None), (1, 37338.576, None)]}",313.35740939256686,141721.39936954246,19956.432,13864.318527851503,19956.432,40333.50099999999,True,20.965518755999987
lamf-test-6ffd71d7-ab96-484d-939d-8341469b380b,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(3, 19986.432, 23956.968), (2, 23956.968, None), (4, 34398.576, None), (-4, 37398.576, None), (0, 42879.648, None)]}",291.65416309527114,141707.75491037866,19986.432,13865.318527851503,19986.432,53296.63499999999,True,33.498886075199984
lamf-test-20e1ba49-4666-4d28-9ab3-d9b988f76cc5,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(6, 20916.432, None), (-5, 23416.968, None), (0, 29378.04, None)]}",285.6765311197183,141792.3732523906,20916.432,14406.641334591503,20916.432,62079.579,True,21.766859431200004
lamf-test-6012bbf1-8566-4834-b341-39822809aef2,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(5, 21576.432, None), (-3, 23026.968, None), (3, 23986.968, None), (-1, 25126.968, None), (0, 26896.968, None)]}",93.62462651407313,45614.15540462022,21576.432,14407.949224101503,21576.432,31645.146,True,16.6074509952
lamf-test-92b1912c-cdf4-4496-9665-6c2a64a15900,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(5, 21726.432, 22536.432), (2, 22536.432, None), (4, 24916.968, None)]}",99.7921660649438,45752.94871017808,21726.432,14408.949224101503,21726.432,26351.194,True,7.064103196799997
lamf-test-3d2e4ca8-d6e8-4002-a809-14108f6da5be,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(5, 22206.432, 26686.968), (1, 26686.968, None), (3, 34638.576, None)]}",306.2018292174168,142176.19113649253,22206.432,14417.109992110503,22206.432,39607.247,True,20.372871043200004
lamf-test-a7986f20-c88c-442a-a9bb-9d4e408bd120,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(4, 22236.432, None), (-1, 23386.968, None), (1, 24106.968, None)]}",50.00049139574834,28524.566581506348,22236.432,14419.375337470503,22236.432,24695.205,True,3.697081315200002
lamf-test-bf2ee2bb-aeee-4553-ba75-b56c3562dc59,"{<resource_manager.instance.CloudReservedInstance object at 0x11426c3b0>: [(2, 22326.432, None)]}",94.73625576454592,45786.98124484912,22326.432,14423.022314107502,22326.432,37034.10076966608,True,32.13331472796645
