,instances,budget,deadline,sched_start_time,submit_time,exec_start_time,finish_time,complete,cost
lamf-test-01aed4d0-4ac3-4934-b29d-300b9eb1cf38,"{<resource_manager.instance.CloudReservedInstance object at 0x128c8d310>: [(3, 10266.200000000013, None)], <resource_manager.instance.CloudReservedInstance object at 0x128c8d090>: [(3, 10266.200000000013, None)]}",48.38806555130056,24572.83504666157,10266.200000000013,10209.2438158365,10266.200000000013,12031.31732250174,True,3.9100878928058247
lamf-test-f035cec5-13b9-4feb-9d16-93fce26c2cc2,"{<resource_manager.instance.CloudReservedInstance object at 0x128c8d090>: [(3, 10296.200000000013, None)]}",59.50673849065216,24430.616030020294,10296.200000000013,10223.6066977515,10296.200000000013,18362.27596750962,True,9.75672549029962
lamf-test-7dc86417-03bf-4f7d-b2cc-4f303d7c708b,"{<resource_manager.instance.CloudReservedInstance object at 0x128a863f0>: [(4, 10326.400000000014, None)]}",122.20824587768153,41564.56794353592,10326.400000000014,10225.9100719785,10326.400000000014,18089.296230144882,True,18.22107003139603
lamf-test-6e11c3c3-b9bf-4aa2-897f-6c03a891a9cd,"{<resource_manager.instance.CloudReservedInstance object at 0x128a863f0>: [(2, 10356.400000000014, None)], <resource_manager.instance.CloudReservedInstance object at 0x128a77cb0>: [(3, 10356.400000000014, None)]}",323.10613238146993,137863.72386441295,10356.400000000014,10229.1301052685,10356.400000000014,70093.21012675091,True,199.5687352714494
lamf-test-c5a6ffed-1196-4516-a2cc-67f21c8eb5f5,"{<resource_manager.instance.CloudReservedInstance object at 0x128a77cb0>: [(2, 10386.400000000014, None)]}",321.906162634098,137942.18971061334,10386.400000000014,10242.8387997555,10386.400000000014,39264.01712167279,True,41.72238121739282
lamf-test-6718dd63-82fd-49d3-b154-c2385c7724e4,"{<resource_manager.instance.CloudReservedInstance object at 0x128a77cb0>: [(1, 10416.400000000014, None)], <resource_manager.instance.CloudReservedInstance object at 0x128a86650>: [(1, 10416.400000000014, None)], <resource_manager.instance.CloudOnDemandInstance object at 0x128a868b0>: [(2, 10416.400000000014, None)]}",53.92864783453742,24351.120250658798,10416.400000000014,10248.3611088975,10416.400000000014,18358.407384513645,True,49.83133113339232
lamf-test-93fc33e5-0604-48d1-8efe-1dfc9145e379,"{<resource_manager.instance.CloudOnDemandInstance object at 0x128a868b0>: [(5, 10446.400000000014, None)]}",318.63019504491797,137971.9290780815,10446.400000000014,10256.698034839499,10846.936000000014,51515.02365555057,True,457.87408513573314
lamf-test-561c40aa-4fd2-4142-aa20-b41c53e185e4,"{<resource_manager.instance.CloudOnDemandInstance object at 0x128a868b0>: [(2, 10877.936000000018, None)]}",92.22367706149063,41537.70500518162,10877.936000000018,10260.4498112355,11278.472000000018,23948.648219320014,False,
lamf-test-d81c27cf-4838-43c5-ac8d-f0f7d5a86a71,"{<resource_manager.instance.CloudOnDemandInstance object at 0x128c8d6d0>: [(4, 11310.272000000024, None)]}",313.16578296695053,138520.98022999117,11310.272000000024,10809.8795981445,11710.808000000025,138536.38022999116,False,
lamf-test-92b10550-cff6-47f7-a077-4b4db1587046,"{<resource_manager.instance.CloudReservedInstance object at 0x128c943b0>: [(4, 11742.608000000031, None)]}",81.64667311738593,41952.6806620922,11742.608000000031,10820.5460557845,11742.608000000031,19739.361296098003,True,34.942613202629694
